title,view_count,subscriber_count,video_count
T-Series,238030852574,253000000,19820
MrBeast,36996755250,211000000,767
Cocomelon - Nursery Rhymes,170365245506,167000000,1036
SET India,153953696545,165000000,121686
✿ Kids Diana Show,96980699954,115000000,1136
PewDiePie,29165121766,111000000,4741
Like Nastya,94863206125,110000000,849
Vlad and Niki,81574248869,105000000,611
Zee Music Company,61832553063,102000000,9461
WWE,79909645427,98000000,72429
BLACKPINK,33904663784,92100000,586
Goldmines,26376369858,91900000,7130
Sony SAB,106769121711,87000000,75637
5-Minute Crafts,26724491109,80400000,6687
BANGTANTV,21795724972,76800000,2385
Zee TV,82821819157,74300000,145498
HYBE LABELS,31084245273,73400000,1546
Justin Bieber,31349772873,72200000,249
Pinkfong Baby Shark - Kids' Songs & Stories,40683832522,70900000,3047
ChuChu TV Nursery Rhymes & Kids Songs,48171545159,68700000,722
Colors TV,65776596674,68400000,122724
Shemaroo Filmi Gaane,29537662200,66800000,8582
Canal KondZilla,37698190012,66700000,2680
T-Series Bhakti Sagar,31601146301,64400000,26764
Tips Official,35453030763,62100000,5127
El Reino Infantil,60348848878,60900000,1584
Movieclips,60240408443,60100000,39799
Dude Perfect,16751002754,59900000,405
Aaj Tak,27180464872,59900000,314433
Wave Music,41408093407,59600000,19742
Sony Music India,30013498877,58500000,4161
EminemMusic,27984339868,57900000,157
YRF,37736668375,57000000,3864
Infobells - Hindi,32953308856,57100000,612
Marshmello,14865761573,56700000,453
LooLoo Kids - Nursery Rhymes and Children's Songs,33428977141,55300000,754
Taylor Swift,32033125468,55200000,223
BillionSurpriseToys  - Nursery Rhymes & Cartoons,11043965868,54200000,916
Ed Sheeran,31159950083,53900000,453
Ariana Grande,24673381554,53100000,154
Shemaroo,23437100955,50000000,11337
JuegaGerman,14908949329,48800000,2084
Billie Eilish,14330078464,48800000,79
ARY Digital HD,44437686249,48500000,122124
SonyMusicIndiaVEVO,28764812137,48200000,3562
HAR PAL GEO,45450795286,47700000,112335
Bad Bunny,32613420646,47200000,153
Badabun,19566197157,47100000,19691
Toys and Colors,53667163942,47100000,1100
Fernanfloo,10442379993,46600000,544
Voot Kids,22084088014,46500000,5096
Felipe Neto,17091273891,45800000,4532
ABS-CBN Entertainment,51270965243,45800000,202898
Mikecrack,17279992566,45200000,1962
Shakira,28861096769,45000000,338
Você Sabia?,7962918717,45000000,1622
Katy Perry,25746257988,44500000,134
Alan Walker,13284219071,44500000,481
BRIGHT SIDE,10867649964,44500000,6832
whinderssonnunes,4366859882,44400000,661
HolaSoyGerman.,4855308504,43600000,136
Speed Records,27544247060,43000000,11111
Ishtar Music,18625307333,42900000,4516
Kimberly Loaiza,6060358017,43000000,305
Like Nastya Show,19886766251,42600000,651
Rihanna,23138248772,42400000,84
Jess No Limit,5261037655,42300000,2564
Luisito Comunica,9073046473,41400000,1315
shfa2 - شفا,25028457890,41100000,1662
Little Baby Bum - Nursery Rhymes & Kids Songs,39710433078,40900000,2507
LUCCAS NETO - LUCCAS TOON,23361101619,40800000,2427
CarryMinati,3491093527,40600000,189
Super Simple Songs - Kids Songs,47354903804,40400000,774
elrubiusOMG,7423354076,40300000,701
Sony PAL,30346078970,40200000,25569
BETER BÖCÜK,23954876599,40200000,3394
MrBeast Gaming,7062079713,39900000,141
Ricis Official,6744122409,40000000,3374
WorkpointOfficial,36915111173,39800000,75804
Goldmines Gaane Sune Ansune,17656799572,39800000,3634
XXXTENTACION,10639807115,39600000,135
TEDx Talks,7581669967,39600000,205708
GR6 EXPLODE,26223029842,39600000,3163
shfa,22607783986,39500000,1045
ABP NEWS,14231594134,38900000,331142
ช่อง one31,26270881788,38700000,126497
One Direction,13774684566,38400000,157
YouTube,3401121387,38400000,790
Maria Clara & JP,25349858629,38300000,766
Daddy Yankee,23407628826,38300000,526
