title,description,country,topic_categories,view_count,subscriber_count,video_count,keywords
T-Series,"""Music can change the world"". T-Series is India's largest Music Label & Movie Studio, believes in bringing world close together through its music.
T-Series is associated with music industry from past three decades, having ample catalogue of music comprising plenty of languages that covers the length & breadth of India. We believe after silence, nearest to expressing the inexpressible is Music. So, all the music lovers who believe in magic of music come join us and live the magic of music with T-Series.",IN,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']",238030852574,253000000,19820,"""tseries tseries"" t-series ""tseries songs"" ""dilbar dilbar"" songs ""guru randhawa songs"" ""hindi songs"" ""nikle currant"" ""new song"" song downtown ""neha kakkar songs"" ""arijit singh songs"" dilbar urvashi ""guru randhawa new song"" ""paniyon sa"" ""bollywood songs"" ""high rated gabru"" ""bom diggy"" ""loveratri songs"" ""lut gaye"" ""hindi songs 2021"" ""latest hindi songs"" ""love songs 2021"" ""jubin Nautiyal"" ""tulsi kumar"" ""bhushan k"" bollywood ""indian 2022"" ""hindi song 2022"" ""arijit singh"" pritam soulful ""sad songs"""
MrBeast,"SUBSCRIBE FOR A COOKIE!
Accomplishments:
- Raised $20,000,000 To Plant 20,000,000 Trees
- Removed 30,000,000 pounds of trash from the ocean
- Built wells in Africa
- helped 1,000 blind people see
- helped 1,000 deaf people hear
- Given millions to charity
- Started my own snack company Feastables
- Donated over 100 cars lol
- Gave away a private island (twice)
- Gave away 1 million dollars in one video
- Counted to 100k
- Read the Dictionary
- Read Bee Movie Script
- Read Longest English Word
- Watched Paint Dry
- Ubering Across America
- Watched It's Every Day Bro For 10 Hours
- Ran a marathon in the world's largest shoes
- Adopted every dog in a shelter
- Bought $1,000,000 in lottery tickets
- Sold houses for $1
- I got buried alive
- Recreated Squid Game in real life
- Gave away a chocolate factory
- Gave away private jet
- Survived 50 hours in Antarctica
You get the point haha


*Do not email me asking for money, I give away money because it makes me happy :)",US,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Entertainment']",36996755250,211000000,767,mrbeast6000 beast mrbeast Mr.Beast mr
Cocomelon - Nursery Rhymes,"At CoComelon, our primary goal has always been to engage families with entertaining and educational content that makes universally-relatable preschool moments fun. 
Our beautiful 3D animation and toe-tapping songs create a world that centers on the everyday experiences of young children. 
In addition to helping preschoolers learn letters, numbers, animal sounds, colors, and more, 
the videos impart prosocial life lessons, providing parents with an opportunity to teach and play with their children as they watch together.

CoComelon. Where kids can be happy and smart!

Music ► https://cocomelon.lnk.to/TheCompleteCollectionYT!DSC
Instagram ►https://www.instagram.com/cocomelon_official/ 
Facebook ►https://www.facebook.com/CoComelonKids 
TikTok ► https://www.tiktok.com/@cocomelon
Moonbug ► https://www.moonbug.com/about
",US,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Music']",170365245506,167000000,1036,"""nursery rhymes"" ""baby songs"" ""nursery songs"" ""kids songs"" ""children songs"" ""baby song"" ""kids song"" educational entertainment preschool kindergarten ""kids education"" ""kids entertainment"""
SET India,"Sony Entertainment Television is one of the leading Hindi General Entertainment channels in India. Since its launch in October 1995, SET has created a unique space, in television programming, with movie premieres, fiction & non–fiction shows.
The Kapil Sharma Show, Shark Tank India, Kaun Banega Crorepati, Indian Idol, Bade Achhe Lagte Hain, Adaalat, CID, Crime Patrol and Super Dancer are some of the popular shows by Sony. Drama, suspense, romance & reality, you name and we have it all for you.
",IN,"['https://en.wikipedia.org/wiki/Television_program', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Entertainment']",153953696545,165000000,121686,"""SET India"" ""Sony Entertainment Television"" ""Sony TV"" Sony ""The Kapil Sharma Show"" TKSS ""Kapil Sharma"" ""Kapil Sharma Season 2"" ""TKSS 2"" ""Crime Patrol"" CID ""Patiala Babes"" ""Ladies Special"" ""Mere Sai"" ""Vighnahartha Ganesh"" ""Yeh Un Dinon Ki Baat HainCrime Patrol Dial 100"" ""Full Episodes"" ""Crime Patrol full episodes"" ""CID full episodes"" ""Patiala Babes full episodes"" ""Ladies Special full episodes"" ""Hindi serials"""
✿ Kids Diana Show,"Welcome to Diana and Roma world - where Diana, Roma, little Oliver and their parents play, learn, sing, explore and share their life experiences. Millions of kids and families from all over the world join Diana and Roma every day to explore the world and learn about songs, numbers, nature, colors, shapes, animals, and the importance of eating healthy food, washing hands, being a good friend, and much more.
All rights reserved. This visual production contains original artistic content and ideas and is protected by U.S. and international laws. Reproduction and distribution of this visual presentation without written expressed permission of the copyright holder/ author is prohibited.
Diana and Roma is the top rated kids' YouTube channel . Since launching on YouTube in 2015, Kids Diana Show has attracted over 200+ million worldwide subscribers and 100+ billion views, while on average 10 billion monthly views on 20 channels and translated into 20 languages.
E-mail: dianaromabiz@gmail.com",US,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Hobby']",96980699954,115000000,1136,"""diana and roma"" diana ""roma and diana"" ""kids diana show"" ""kids video"" ""love diana"" toys ""for kids"" kids cartoon animation мультики cartoons ""kids cartoons"" ""cartoons for kids"" ""kids videos"" ""pretend play"" ""children songs"" ""baby songs"" ""kids song"" ""music video"" song"
PewDiePie,I make videos.,JP,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Video_game_culture']",29165121766,111000000,4741,"pewdiepie pewds gaming ""felix arvid ulf"" felix kjellberg"
Like Nastya,"Welcome to Nastya's universe - where Nastya and her parents play, learn, sing, explore and share their life experiences. 

Millions of kids and families from all over the world join Nastya every day to explore the world and learn about songs, numbers, nature, colors, shapes, animals, and the importance of eating healthy food, washing hands, being a good friend, and much more.

Follow Like Nastya on Instagram - https://www.instagram.com/likenastya/
Follow Like Nastya on TikTok - https://www.tiktok.com/@likenastya

Copyright © 2019 Like Nastya, LLC. All rights reserved. This visual production contains original artistic content and ideas and is protected by U.S. and international laws. Reproduction and distribution of this visual presentation without written expressed permission of the copyright holder/ author is prohibited.  For permission requests, write to copyright holder/ author, addressed to info@likenastya.com",US,"['https://en.wikipedia.org/wiki/Hobby', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Entertainment']",94863206125,110000000,849,"nastya toys kids ""like nastya"" song ""nastya and dad"" ""kids video"" настя ""for kids"" ""pretend play"" ""children songs"" ""baby songs"" ""music video"" ""nastya and papa"" ""nastya show"" cartoons"
Vlad and Niki,"“Vlad & Niki” is the global preschool phenomenon and highest rated kids channel on YouTube starring the imaginative personalities and antics of brothers Vlad and Niki, who are showcased in non-stop fun and crazy adventures. Since launching on YouTube in 2018, the “Vlad & Niki” has attracted more than 230+ million subscribers worldwide and 130+ billion views, while averaging five billion monthly views on 21 channels and translated into 18 languages. Each episode is produced with a creative mix of live action, animation and music to create comedic videos for the preschool demographic. ""Vlad & Niki"" is the property of Content Media Group FZC, LLC, headed by co-founders Sergey and Victoria Vashketov, the parents of global superstar kidfluencers Vlad and Niki.

Contact for advertising
vladandniki@underscoretalent.com
",US,"['https://en.wikipedia.org/wiki/Hobby', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",81574248869,105000000,611,kids toys play fun vlad nikita
Zee Music Company,"Zee Music Company is part of India's leading television media and entertainment companies. It is amongst the largest producers and aggregators of Hindi programming in the world, with an extensive library housing over 222,000 hours of television content along with a strong presence in over 171 countries and a total viewership of 1 Billion plus people around the globe. Our Library has rights to more than 3,818 movie titles from premiere studios featuring iconic film stars, ZEEL houses the world’s largest Hindi film library.

Zee Music Company
Facebook - https://www.facebook.com/zeemusiccompany
Twitter - https://twitter.com/ZeeMusicCompany",IN,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Music_of_Asia']",61832553063,102000000,9461,"""zee music company"" zmc ""bollywood songs"" ""hindi songs"" ""New bollywood songs"" ""New Hindi Songs"" ""Hindi Dance Songs"" ""Dance Song Hindi"" ""ZMC Songs"" ""Zee Music Originals"" ""Hindi Party Songs"" ""new song 2022 hindi"" ""latest bollywood songs"" ""latest hindi songs"""
WWE,"WWE on YouTube is your number one spot to catch WWE original shows and exclusives!

Watch videos from all of your favorite WWE Superstars, backstage fallout from live shows including Raw, SmackDown, NXT and original shows such as Top 10, List This, WWE's The Bump and much more! 

Subscribe - https://goo.gl/2YO0Is

Stream WWE on Peacock https://pck.tv/2PIAQJI in the U.S. and on WWE Network http://wwe.yt/wwenetwork everywhere else.
",None,"['https://en.wikipedia.org/wiki/Performing_arts', 'https://en.wikipedia.org/wiki/Professional_wrestling', 'https://en.wikipedia.org/wiki/Sport', 'https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",79909645427,98000000,72429,"wrestling ""submission wrestling"" wwe ""व्यावसायिक कुश्ती"" ""professional wrestling"" ""مصارعة المحترفين"" ""الرياضة القتالية"" ""finishing moves"" ""चालें परिष्करण"" الانتهاء من التحركاتالانتهاء التحركات wrestler network Raw SmackDown WrestleMania SummerSlam"
