Rank,Channel,Videos,Subscribers,Views
#1,T-Series,19.81K,253M,237.8B
#2,MrBeast,767,210M,36.87B
#3,Cocomelon - Nursery Rhymes,1.03K,167M,170.37B
#4,SET India,121.48K,165M,153.88B
#5,✿ Kids Diana Show,1.14K,115M,96.9B
#6,PewDiePie,4.74K,111M,29.16B
#7,Like Nastya,847,110M,94.79B
#8,Vlad and Niki,610,104M,81.51B
#9,Zee Music Company,9.44K,102M,61.74B
#10,WWE,72.41K,98M,79.86B
#11,BLACKPINK,585,92.1M,33.9B
#12,Goldmines,7.15K,91.8M,26.41B
#13,Sony SAB,75.54K,86.9M,106.65B
#14,5-Minute Crafts,6.68K,80.4M,26.72B
#15,BANGTANTV,2.38K,76.8M,21.8B
#16,Zee TV,144.78K,74.3M,82.81B
#17,HYBE LABELS,1.54K,73.3M,31.04B
#18,Justin Bieber,249,72.2M,31.35B
#19,Pinkfong Baby Shark - Kids' Songs & Stories,3.05K,70.9M,40.68B
#20,ChuChu TV Nursery Rhymes & Kids Songs,719,68.6M,48.13B
#21,Colors TV,122.44K,68.3M,65.68B
#22,Shemaroo Filmi Gaane,8.57K,66.8M,29.52B
#23,Canal KondZilla,2.68K,66.7M,37.69B
#24,T-Series Bhakti Sagar,26.74K,64.3M,31.56B
#25,Tips Official,5.12K,62.1M,35.42B
#26,El Reino Infantil,1.58K,60.9M,60.27B
#27,Movieclips,39.8K,60.1M,60.21B
#28,Dude Perfect,405,59.9M,16.74B
#29,Aaj Tak,313.78K,59.8M,27.14B
#30,Wave Music,19.73K,59.6M,41.39B
#31,Sony Music India,4.15K,58.5M,29.99B
#32,EminemMusic,157,57.8M,27.98B
#33,YRF,3.86K,57M,37.7B
#34,Infobells - Hindi,611,57M,32.92B
#35,Marshmello,453,56.7M,14.87B
#36,LooLoo Kids - Nursery Rhymes and Children's Songs,753,55.3M,33.41B
#37,Taylor Swift,223,55.2M,32.03B
#38,BillionSurpriseToys - Nursery Rhymes & Cartoons,914,54.1M,11.03B
#39,Ed Sheeran,453,53.8M,31.16B
#40,Ariana Grande,154,53.1M,24.67B
#41,Shemaroo,11.32K,49.9M,23.41B
#42,JuegaGerman,2.08K,48.8M,14.91B
#43,Billie Eilish,79,48.8M,14.18B
#44,ARY Digital HD,121.87K,48.4M,44.36B
#45,SonyMusicIndiaVEVO,3.56K,48.1M,28.74B
#46,HAR PAL GEO,112.08K,47.7M,45.38B
#47,Bad Bunny,153,47.1M,32.61B
#48,Badabun,19.67K,47.1M,19.56B
#49,Toys and Colors,1.1K,46.9M,53.46B
#50,Fernanfloo,544,46.6M,10.44B
#51,Voot Kids,5.08K,46.4M,22.07B
#52,Felipe Neto,4.53K,45.8M,17.08B
#53,ABS-CBN Entertainment,202.65K,45.7M,51.26B
#54,Mikecrack,1.96K,45.1M,17.27B
#55,Shakira,338,45M,28.86B
#56,Você Sabia?,1.62K,45M,7.96B
#57,Katy Perry,134,44.5M,25.75B
